epoch,sat_count,mean_elevation_deg,mean_trop_m,min_trop_m,max_trop_m
2025-01-01 05:47:00.000,7,49.153817,3.440188,2.436358,4.658653
2025-01-01 05:48:00.000,6,48.865705,3.508587,2.434142,4.698528
2025-01-01 05:49:00.000,6,48.767617,3.521243,2.432163,4.739082
2025-01-01 05:50:00.000,7,43.640214,4.490829,2.430421,10.229601
2025-01-01 05:51:00.000,7,43.590975,4.469149,2.428914,9.996251
2025-01-01 05:52:00.000,6,48.434374,3.562045,2.427642,4.864979
2025-01-01 05:53:00.000,6,48.309589,3.576611,2.426603,4.908415
2025-01-01 05:54:00.000,6,48.177651,3.591671,2.425797,4.952618
2025-01-01 05:55:00.000,7,43.335929,4.399949,2.425223,9.156239
2025-01-01 05:56:00.000,7,43.257021,4.386673,2.424881,8.966877
2025-01-01 05:57:00.000,6,47.737832,3.639897,2.424770,5.090024
2025-01-01 05:58:00.000,6,47.576418,3.657016,2.424889,5.137495
2025-01-01 05:59:00.000,6,47.407653,3.674672,2.425238,5.185838
2025-01-01 06:00:00.000,6,47.231643,3.692874,2.425816,5.235075
2025-01-01 06:01:00.000,7,48.523973,3.586526,2.426624,5.285232
2025-01-01 06:02:00.000,7,48.433267,3.600836,2.427661,5.336333
2025-01-01 06:03:00.000,7,48.336845,3.615698,2.428927,5.388405
2025-01-01 06:04:00.000,7,48.234913,3.631122,2.430422,5.441475
2025-01-01 06:05:00.000,6,51.855490,3.339043,2.432146,5.126924
2025-01-01 06:06:00.000,5,50.143757,3.466897,2.434099,5.181225
2025-01-01 06:07:00.000,6,44.798815,4.117071,2.436281,7.290036
2025-01-01 06:08:00.000,6,44.675066,4.110011,2.438692,7.167007
2025-01-01 06:09:00.000,5,49.493741,3.515313,2.441333,5.353163
2025-01-01 06:10:00.000,6,44.412896,4.099249,2.444204,6.932535
2025-01-01 06:11:00.000,5,49.030373,3.550464,2.447305,5.475902
2025-01-01 06:12:00.000,6,44.132900,4.092849,2.450636,6.712376
